health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,grp_cnt_restricted,hosp_cnt,acutehosp_cnt,nh_cnt,nh_cnt_restricted,hhco_cnt,hhco_cnt_restricted,sys_multistate,sys_beds,sys_dsch,sys_res,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ownership,hos_net_revenue,hos_total_revenue
HSI00000008,Adena Health System,Chillicothe,OH,1,1,17780403,0895,336,126,147,20,53,51,4,4,0,0,2,1,1,298,10856,35.45,0,0,0,1,0,0,1,0,,,,1,601769408,2262405323
HSI00000010,AdventHealth,Altamonte Springs,FL,1,1,17773293,4165,3580,1308,1935,705,745,681,42,41,2,1,15,12,3,8809,457153,343.68,0,0,0,1,1,0,1,1,1,1,1,2,15573277510,82666491855
HSI00000011,Adventist Health,Roseville,CA,1,1,17773620,0235,1658,657,471,350,349,308,28,25,4,4,13,12,3,2976,124014,139.16,0,1,0,1,1,0,1,1,1,1,1,2,5264286719,26614819756
HSI00000012,Adventist Healthcare,Gaithersburg,MD,1,1,17773292,0214,707,194,149,131,56,49,6,4,0,0,2,1,2,866,42465,199.52,0,1,1,1,1,0,0,0,0,0,0,2,1118781534,1792160717
HSI00000018,Alameda Health System,Oakland,CA,1,1,18283551,0225,483,186,68,66,6,6,4,3,3,2,0,0,1,298,16023,128.9,0,1,0,2,1,0,0,0,0,0,0,3,404236312,3750136840
HSI00000019,Albany Medical Center,Albany,NY,1,0,18202149,,1383,295,266,239,114,107,3,2,0,0,0,0,1,890,45764,421.83,0,1,0,2,0,0,0,0,0,0,0,1,1674703576,5592545520
HSI00000025,Allegheny Health Network,Pittsburgh,PA,1,1,17773987,0199,1850,570,495,570,428,398,11,11,0,0,3,1,2,2082,80235,598.11,0,1,1,2,0,0,1,0,0,0,0,1,3195648927,14349175625
HSI00000026,Allegiance Health Management,Bossier City,LA,1,1,18226046,0413,83,48,58,12,18,17,13,10,0,0,0,0,3,507,8589,0,0,0,0,0,1,1,1,1,0,0,0,5,313082993,1600798202
HSI00000029,Allina Health,Minneapolis,MN,1,1,17773295,0041,1808,847,548,402,230,193,13,12,1,1,3,1,2,1759,94617,71.16,0,0,0,1,0,0,0,1,1,0,0,1,3673942762,11651935753
HSI00000032,Altru Health System,Grand Forks,ND,1,0,17830969,,241,105,88,27,28,26,2,1,0,0,1,1,1,198,10160,28.75,0,0,0,1,0,0,0,,,,,1,606228574,1857469817
HSI00000034,Anderson Regional Health System,Meridian,MS,1,0,18359667,,85,32,71,5,24,23,2,2,0,0,0,0,1,303,7602,1.09,0,0,0,1,0,0,0,0,0,0,0,1,247778747,869733008
HSI00000036,Ann and Robert H Lurie Childrens Hospital of Chicago,Chicago,IL,1,0,17773934,,1303,639,359,40,25,24,1,1,0,0,0,0,1,364,10291,293.05,2,1,1,2,0,0,0,0,0,0,0,1,1168670090,3596586385
HSI00000038,Luminis Health,Annapolis,MD,1,1,17830970,1048,603,191,202,144,114,100,3,2,0,0,0,0,1,579,36479,64.12,0,0,0,1,0,0,0,1,1,0,0,1,845191970,1082393941
HSI00000041,Appalachian Regional Healthcare,Lexington,KY,1,1,17774074,0145,289,110,151,27,77,76,14,14,1,1,10,9,2,713,26458,25.28,0,0,0,1,1,0,0,,,,,1,786401802,3842537668
HSI00000045,Archbold Medical Center,Thomasville,GA,1,1,17830971,0104,105,24,37,23,23,19,4,4,3,3,1,1,1,293,7705,6.19,0,0,0,1,1,1,1,0,0,0,0,1,415686792,1182848368
HSI00000046,Ardent Health Services,Brentwood,TN,1,1,17847721,0069,917,301,523,218,165,154,31,26,0,0,1,1,3,2800,132641,232.5,0,0,0,1,1,0,1,1,1,0,1,5,4152060897,24633001756
HSI00000048,Jefferson Health,Philadelphia,PA,1,1,17773319,7775,3811,1276,867,485,442,409,9,7,3,2,3,2,2,3181,147361,1614.43,0,1,1,2,1,0,0,1,1,1,0,1,5252085804,20440992975
HSI00000050,Arkansas Childrens Hospital,Little Rock,AR,1,0,18294566,,313,82,185,21,18,16,2,2,0,0,0,0,1,350,12697,159.1,2,1,0,2,0,0,0,0,0,0,0,1,873033558,1619142550
HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA,1,0,18155944,,67,21,23,25,25,22,1,1,1,1,0,0,1,95,2833,0,0,0,0,0,0,0,0,0,0,0,0,1,119911605,463759916
HSI00000052,Arnot Health,Elmira,NY,1,1,18162204,0809,225,100,79,48,48,46,3,3,2,2,0,0,1,206,7513,104.86,0,1,0,2,1,1,1,,,,,1,328076798,1001028191
HSI00000053,Arrowhead Regional Medical Center,Colton,CA,1,0,18200674,,379,171,68,86,6,6,1,1,0,0,0,0,1,366,18051,204.51,0,1,0,2,1,1,1,0,0,0,0,3,406363315,2895295038
HSI00000054,Asante Health System,Medford,OR,1,1,17817687,0094,296,94,109,71,42,40,3,3,0,0,0,0,1,489,31585,0,0,0,0,0,1,0,0,1,1,0,0,1,1111891160,3964388663
HSI00000055,Ascension Health,Saint Louis,MO,1,1,17773929,0198,9747,3884,3915,1651,1890,1717,120,104,30,30,36,18,3,15162,670201,2528.15,1,1,1,1,1,0,1,1,1,1,1,2,21898168069,92942459125
HSI00000057,Aspirus,Wausau,WI,1,1,18259070,0519,640,234,336,169,123,112,16,16,2,2,5,2,2,699,25875,15.68,0,0,0,1,0,0,1,1,1,0,1,1,1116510138,4125231673
HSI00000059,Atlantic General Health System,Berlin,MD,1,0,18156810,,61,17,26,12,29,29,1,1,0,0,0,0,1,62,2745,0,0,0,0,0,0,0,0,0,,,,1,148617459,214513588
HSI00000060,Atlantic Health System,Morristown,NJ,1,1,17773460,0865,1416,477,476,188,325,310,6,5,1,1,3,2,1,1568,82027,317.47,0,1,0,1,0,0,0,0,0,0,0,1,3399656618,17402812326
HSI00000063,Augusta Health,Fishersville,VA,1,0,18296765,,195,60,76,58,37,36,1,1,1,1,0,0,1,193,9384,0,0,0,0,0,0,0,0,0,0,0,0,1,448911975,1482212039
HSI00000064,Augusta University Health System,Augusta,GA,1,0,17774099,,1064,276,184,95,61,61,4,2,0,0,0,0,1,519,22530,531.77,0,1,1,2,0,0,0,0,0,0,0,3,804330553,3975276283
HSI00000065,Aultman Health Foundation,Canton,OH,1,1,17774075,0859,461,159,179,50,80,67,5,3,1,1,6,0,1,410,22890,118.99,0,1,0,2,0,0,1,1,1,0,1,1,828154613,2702420714
HSI00000067,Pipeline Health,El Segundo,CA,1,1,18400874,0869,145,50,44,25,10,9,7,7,2,2,0,0,3,808,31269,99.14,0,1,0,1,1,1,1,0,0,0,0,5,627096517,3751346831
HSI00000068,Avera Health,Sioux Falls,SD,1,1,17774077,5255,971,402,526,225,205,182,42,39,22,22,16,9,3,1324,40787,52.72,0,0,0,1,0,0,0,1,0,0,1,2,2517473889,6865664545
HSI00000070,BJC Healthcare,Saint Louis,MO,1,1,17773625,0051,4467,1253,1233,234,352,325,16,14,2,1,4,2,2,3180,144326,1074.78,1,1,1,2,0,0,0,0,0,0,0,1,6400289437,21217324974
HSI00000071,BMH,Blackfoot,ID,1,0,18387409,,86,23,39,27,37,37,2,1,1,1,0,0,1,25,1225,0,0,0,0,0,0,0,0,,,,,1,168612827,397414046
HSI00000073,Banner Health,Phoenix,AZ,1,1,17847448,0194,3960,1378,1069,610,431,383,33,29,1,1,4,2,3,5258,244680,920.67,0,1,1,1,1,0,1,1,1,1,1,1,8460859217,30893034262
HSI00000074,Baptist Health,Little Rock,AR,1,1,17773298,0355,616,234,277,39,165,133,12,10,1,1,2,2,1,1512,57473,122.53,0,1,0,1,1,0,1,1,1,1,0,1,1495677411,6925686957
HSI00000075,Baptist Health,Jacksonville,FL,1,1,17829259,0005,949,331,361,148,159,142,3,3,0,0,1,0,1,1170,59160,61.48,0,0,0,1,0,0,0,0,0,0,0,1,2358440346,11580216256
HSI00000076,Baptist Health Care,Pensacola,FL,1,1,17773297,0185,214,66,106,55,83,77,3,3,0,0,0,0,1,362,19500,0,0,0,0,0,0,1,1,0,0,0,0,1,609230493,4131813458
HSI00000077,Baptist Health South Florida,Coral Gables,FL,1,1,17773783,0122,1402,403,868,275,179,160,9,9,0,0,1,0,1,2246,104271,126.86,0,0,0,1,1,1,1,1,1,,,1,4682947605,21827843937
HSI00000080,Baptist Healthcare System,Louisville,KY,1,1,17773623,0315,1287,431,784,231,334,303,10,10,1,1,5,4,2,2045,99329,21.9,0,0,0,1,1,0,0,0,0,0,0,1,3554336946,23819261213
HSI00000081,Baptist Memorial Health Care Corporation,Memphis,TN,1,1,17773784,1625,1184,462,563,82,189,171,21,19,1,1,2,1,3,2368,111917,209.98,0,0,0,1,0,1,1,1,1,1,1,2,2947353936,14220874170
HSI00000086,Barton Health,South Lake Tahoe,CA,1,0,18190170,,135,39,29,19,26,26,2,2,1,1,1,0,2,86,2633,0,0,0,0,0,0,0,0,0,0,0,0,1,266911086,1010801333
HSI00000087,Bassett Healthcare Network,Cooperstown,NY,1,1,18956744,0528,342,105,191,131,74,68,5,5,2,2,1,1,1,279,9446,62.26,0,1,0,1,0,0,1,1,1,1,,1,710966419,1729946524
